 --- ;Generation 1;Generation 2;Generation 3;Generation 4;Generation 5;Generation 6;Generation 7;Generation 8;Generation 9;Generation 10;Generation 11;Generation 12;Generation 13;Generation 14;Generation 15;Generation 16;Generation 17;Generation 18;Generation 19;Generation 20;Generation 21;Generation 22;Generation 23;Generation 24;Generation 25;Generation 26;Generation 27;Generation 28;Generation 29;Generation 30;Generation 31;Generation 32;Generation 33;Generation 34;Generation 35;Generation 36;Generation 37;Generation 38;Generation 39;Generation 40;Generation 41;Generation 42;Generation 43;Generation 44;Generation 45;Generation 46;Generation 47;Generation 48;Generation 49;Generation 50;Generation 51;Generation 52;Generation 53;Generation 54;Generation 55;Generation 56;Generation 57;Generation 58;Generation 59;Generation 60;Generation 61;Generation 62;Generation 63;Generation 64;Generation 65;Generation 66;Generation 67;Generation 68;Generation 69;Generation 70;Generation 71;Generation 72;Generation 73;Generation 74;Generation 75;Generation 76;Generation 77;Generation 78;Generation 79;Generation 80;Generation 81;Generation 82;Generation 83;Generation 84;Generation 85;Generation 86;Generation 87;Generation 88;Generation 89;Generation 90;Generation 91;Generation 92;Generation 93;Generation 94;Generation 95;Generation 96;Generation 97;Generation 98;Generation 99;Generation 100;Generation 101;Generation 102;Generation 103;Generation 104;Generation 105;Generation 106;Generation 107;Generation 108;Generation 109;Generation 110;Generation 111;Generation 112;Generation 113;Generation 114;Generation 115;Generation 116;Generation 117;Generation 118;Generation 119;Generation 120;Generation 121;Generation 122;Generation 123;Generation 124;Generation 125;Generation 126;Generation 127;Generation 128;Generation 129;Generation 130;Generation 131;Generation 132;Generation 133;Generation 134;Generation 135;Generation 136;Generation 137;Generation 138;Generation 139;Generation 140;Generation 141;Generation 142;Generation 143;Generation 144;Generation 145;Generation 146;Generation 147;Generation 148;Generation 149;Generation 150;Generation 151;Generation 152;Generation 153;Generation 154;Generation 155;Generation 156;Generation 157;Generation 158;Generation 159;Generation 160;Generation 161;Generation 162;Generation 163;Generation 164;Generation 165;Generation 166;Generation 167;Generation 168;Generation 169;Generation 170;Generation 171;Generation 172;Generation 173;Generation 174;Generation 175;Generation 176;Generation 177;Generation 178;Generation 179;Generation 180;Generation 181;Generation 182;Generation 183;Generation 184;Generation 185;Generation 186;Generation 187;Generation 188;Generation 189;Generation 190;Generation 191;Generation 192;Generation 193;Generation 194;Generation 195;Generation 196;Generation 197;Generation 198;Generation 199;Generation 200;Generation 201;Generation 202;Generation 203;Generation 204;Generation 205;Generation 206;Generation 207;Generation 208;Generation 209;Generation 210;Generation 211;Generation 212;Generation 213;Generation 214;Generation 215;Generation 216;Generation 217;Generation 218;Generation 219;Generation 220;Generation 221;Generation 222;Generation 223;Generation 224;Generation 225;Generation 226;Generation 227;Generation 228;Generation 229;Generation 230;Generation 231;Generation 232;Generation 233;Generation 234;Generation 235;Generation 236;Generation 237;Generation 238;Generation 239;Generation 240;Generation 241;Generation 242;Generation 243;Generation 244;Generation 245;Generation 246;Generation 247;Generation 248;Generation 249;Generation 250;Generation 251;Generation 252;Generation 253;Generation 254;Generation 255;Generation 256;Generation 257;Generation 258;Generation 259;Generation 260;Generation 261;Generation 262;Generation 263;Generation 264;Generation 265;Generation 266;Generation 267;Generation 268;Generation 269;Generation 270;Generation 271;Generation 272;Generation 273;Generation 274;Generation 275;Generation 276;Generation 277;Generation 278;Generation 279;Generation 280;Generation 281;Generation 282;Generation 283;Generation 284;Generation 285;Generation 286;Generation 287;Generation 288;Generation 289;Generation 290;Generation 291;Generation 292;Generation 293;Generation 294;Generation 295;Generation 296;Generation 297;Generation 298;Generation 299;Generation 300;Generation 301;Generation 302;Generation 303;Generation 304;Generation 305;Generation 306;Generation 307;Generation 308;Generation 309;Generation 310;Generation 311;Generation 312;Generation 313;Generation 314;Generation 315;Generation 316;Generation 317;Generation 318;Generation 319;Generation 320;Generation 321;Generation 322;Generation 323;Generation 324;Generation 325;Generation 326;Generation 327;Generation 328;Generation 329;Generation 330;Generation 331;Generation 332;Generation 333;Generation 334;Generation 335;Generation 336;Generation 337;Generation 338;Generation 339;Generation 340;Generation 341;Generation 342;Generation 343;Generation 344;Generation 345;Generation 346;Generation 347;Generation 348;Generation 349;Generation 350;Generation 351;Generation 352;Generation 353;Generation 354;Generation 355;Generation 356;Generation 357;Generation 358;Generation 359;Generation 360;Generation 361;Generation 362;Generation 363;Generation 364;Generation 365;Generation 366;Generation 367;Generation 368;Generation 369;Generation 370;Generation 371;Generation 372;Generation 373;Generation 374;Generation 375;Generation 376;Generation 377;Generation 378;Generation 379;Generation 380;Generation 381;Generation 382;Generation 383;Generation 384;Generation 385;Generation 386;Generation 387;Generation 388;Generation 389;Generation 390;Generation 391;Generation 392;Generation 393;Generation 394;Generation 395;Generation 396;Generation 397;Generation 398;Generation 399;Generation 400;Generation 401;Generation 402;Generation 403;Generation 404;Generation 405;Generation 406;Generation 407;Generation 408;Generation 409;Generation 410;Generation 411;Generation 412;Generation 413;Generation 414;Generation 415;Generation 416;Generation 417;Generation 418;Generation 419;Generation 420;Generation 421;Generation 422;Generation 423;Generation 424;Generation 425;Generation 426;Generation 427;Generation 428;Generation 429;Generation 430;Generation 431;Generation 432;Generation 433;Generation 434;Generation 435;Generation 436;Generation 437;Generation 438;Generation 439;Generation 440;Generation 441
Std(Low);314.185;163.847;74.247;35.363;29.295;37.233;27.428;21.918;21.918;21.918;21.966;24.749;21.87;21.87;23.602;24.759;21.823;13.097;15.864;15.378;13.097;12.911;14.492;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.699;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.528;15.074;12.659;14.237;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;15.074;15.074;14.237;12.659;12.659;12.659;12.659;12.659;15.074;15.074;15.074;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;14.237;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.659;14.237;14.237;12.659;12.659;12.659;12.659;12.659;12.659;12.659;12.528;10.043;11.585;10.043;10.043;10.043;10.043;9.808;9.808;9.808;9.808;11.341;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;11.881;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;11.341;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;11.881;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;11.881;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;11.341;9.808;9.808;9.808;9.808;9.808;9.808;9.808;11.881;11.881;9.808;11.341;9.808;9.808;9.808;9.808;9.808;9.808;9.808;11.881;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;11.341;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;11.881;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808;9.808
Mean;411.115;283.224;218.042;120.563;92.243;82.084;72.898;69.84;69.84;69.84;69.86;73.561;69.82;69.82;70.603;72.177;69.801;65.088;69.608;68.168;65.088;64.467;65.249;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;64.042;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;68.104;67.546;63.845;64.628;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;67.546;67.546;64.628;63.845;63.845;63.845;63.845;63.845;67.546;67.546;67.546;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;64.628;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;63.845;64.628;64.628;63.845;63.845;63.845;63.845;63.845;63.845;63.845;68.104;72.363;73.145;72.363;72.363;72.363;72.363;59.586;59.586;59.586;59.586;60.369;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;63.288;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;60.369;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;63.288;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;63.288;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;60.369;59.586;59.586;59.586;59.586;59.586;59.586;59.586;63.288;63.288;59.586;60.369;59.586;59.586;59.586;59.586;59.586;59.586;59.586;63.288;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;60.369;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;63.288;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586;59.586
Std(High);508.045;402.601;361.837;205.763;155.191;126.935;118.368;117.762;117.762;117.762;117.754;122.373;117.77;117.77;117.604;119.595;117.779;117.079;123.352;120.958;117.079;116.023;116.006;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.385;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;123.68;120.018;115.031;115.019;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;120.018;120.018;115.019;115.031;115.031;115.031;115.031;115.031;120.018;120.018;120.018;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.019;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.031;115.019;115.019;115.031;115.031;115.031;115.031;115.031;115.031;115.031;123.68;134.683;134.705;134.683;134.683;134.683;134.683;109.364;109.364;109.364;109.364;109.397;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;114.695;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.397;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;114.695;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;114.695;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.397;109.364;109.364;109.364;109.364;109.364;109.364;109.364;114.695;114.695;109.364;109.397;109.364;109.364;109.364;109.364;109.364;109.364;109.364;114.695;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.397;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;114.695;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364;109.364
